Name,Phone,URL,Square Feet Total,Neighborhood,Organization Type,Dominant Discipline,Year of Occupation,Rent vs Own,Age of Current Building, Year Organization Founded,Number of Past Facilities,Stages and Theaters,Stage & Theater Seats ,Gallery Space,Gallery Square Feet,ADA Compliant,Available Parking,Street Presence,Rental Space ,Alcohol Sales,Funded by A&C,"Stability Index (5=very stable, 1=very uncertain)",Constituency over 50% one race,Length of Lease (Date),Address,Location,Closed Date,Closed?
Dunn Gardens,,,,,,Heritage,,,,,,,,,,,,,,,,,,,13533 Northshire Rd NW  Seattle WA 98177,"(47.7275760, -122.3627350)",,0
Dusty Strings,,,,,,Service/Supply,,,,,,,,,,,,,,,,,,,3406 Fremont Ave N Seattle WA 98103,"(47.6497440, -122.3497980)",,0
Duvall Books,(206) 714-7978,,1625,,N,Literary,1976,O,1910,1976,3,,,Y,1400,N,10,Y,N,N,,5,,,15635 Main St. N.E. Duvall WA 98019,"(47.7414870, -121.9863350)",,0
Duvall Foundation for the Arts,(425) 788-0326,,,,,Arts/Cultural Administration or Advocacy,,,,,,,,,,,,,,,,,,,PO Box 1043 Duvall WA 98019,,,0
Duvall Historical Society/City of Duvall,(425) 788-2984,www.duvallwa.gov,2000,,Government,Heritage,1997,O,1898,1913,,0,,Y,100,Y,20,Y,Y,N,,5,,,14701 Main Street NE Duvall WA 98019,"(47.7333630, -121.9879510)",,0
Duvall Outdoor Quilt Show,(425) 844-1621,www.DuvallQuiltShow.com,5280,,Y,Visual,2002,Other,1913,2011,0,1,0,Y,5280,Y,100,Y,N,N,,5,,,15705 Main St. NE Duvall WA 98019,"(47.7418000, -121.9863460)",,0
Duwamish Longhouse,(206) 431-1582,www.duwamishtribe.org,6044,West Seattle,Y,Performance,2008,O,2009,1982,5,0,0,Y,700,Y,26,Y,Y,N,N,4,,0,4705 W Marginal Way SW Seattle WA 98106,"(47.5609355, -122.3520010)",,0
Dynamic Sound Service,,,,,,Studios,,,,,,,,,,,,,,,,,,,,,,
Earl Harper Studios,,,,,,Service/Supply,,,,,,,,,,,,,,,,,,,5531 Airport Way S Seattle WA 98108,"(47.5523680, -122.3204880)",,0
Early Music Guild,(206) 325-7066,www.earlymusicguild.org,518,Eastlake,Y,Music,1995,R,1960,1978,2,0,0,N,,Y,2,N,N,Y,Y,4,,2015-06-30T00:00:00,2366 Eastlake Ave E #325 Seattle WA 98102,"(47.6412250, -122.3258970)",,0
Earth Pearl Collective,(786) 282-7287,earthpearlcollective.wix.com/bodyembodied,,,,Multi-use,,,,,,,,,,,,,,,,,,,208 SW 319th LN G205 Federal Way WA 98023,"(47.3167400, -122.3365810)",,0
Earwig Studio,,,,,,Studios,,,,,,,,,,,,,,,,,,,74 S Lucile St Seattle WA 98134,"(47.5536580, -122.3355940)",,0
East African Community Services,,,,,,Community Center,,,,,,,,,,,,,,,,,,,7054 32nd Ave S Seattle WA 98118,"(47.5394230, -122.2910180)",,0
East West Bookshop,,,,,,Literary,,,,,,,,,,,,,,,,,,,6500 Roosevelt Way NE Seattle WA 98115,"(47.6760768, -122.3170608)",,0
Eastside Baha'i Center,(425) 957 1919,www.eastsidebahaicenter.org,7000,,Y,Multi-use,2007,O,2007,2007,0,1,400,Y,0,I don't know.,70,Y,Y,N,,5,,,16007 NE 8th St Bellevue WA 98008,"(47.6164160, -122.1267580)",,0
Eastside Heritage Center,(425) 450-1049,,,,,Heritage,,,,,,,,,,,,,,,,,,,McDowell House 11660 Main Street Bellevue WA 98005,"(47.6102470, -122.1830360)",,0
Eastside Nihon Matsuri Association,(425) 861-7865,www.enma.org,375,,Government,Arts/Cultural Administration or Advocacy,1998,Other,1988,2000,0,0,0,Y,0,N,6,Y,N,N,,5,,It's month to month.,17419 NE 126th Pl. Redmond WA 98052-2297,"(47.7134510, -122.1054310)",,0
Easy Street Records,,,,,,Music,,,,,,,,,,,,,,,,,,,4559 California Ave SW Seattle WA 98116,"(47.5614664, -122.3870841)",,0
Echo Echo Gallery,(206) 633-1236,www.echoechogallery.com,3000,Greenwood,N,Visual,2010,R,,2007,0,0,0,Y,600,N,0,Y,Y,Y,N,3,,It's month to month.,8537 Greenwood Ave N Seattle WA 98103,"(47.6916342, -122.3557113)",,0
Eclectic Theater Company,(206) 679-3271,www.eclectictheatercompany.org,900,Capitol Hill,Y,Performance,2006,R,1910,2000,0,1,49,N,0,No,0,Y,Y,Y,N,3,,2017,1214 10th Ave Seattle WA 98122,"(47.6126561, -122.3191571)",2017-10-31T00:00:00,1
Edd Cox Fine Art,(206) 682-4046,www.eddcoxfineart.com,4500,Pioneer Square,N,Visual,2010,R,1900,1978,4,0,0,Y,1500,Y,0,Y,N,Y,N,3,,2017,313 1st Ave S Seattle WA 98104,"(47.5995772, -122.3345636)",,0
Edge of Glass Gallery,,,,,,Visual,,,,,,,,,,,,,,,,,,,513 N 36th St # H Seattle WA 98103,"(47.6513564, -122.3515985)",,0
EDGE Performing Arts & Dance,(206) 747-7380,www.edgeartsanddance.com,1700,,N,Performance,2012,R,1960,2012,0,1,40,N,,N,5,Y,Y,N,,4,,2015,17517 15th Ave NE Shoreline WA 98154,"(47.7562690, -122.3137720)",,0
Egan's Ballard Jam House,,,,,,Performance,,,,,,,,,,,,,,,,,,,1707 NW Market St Seattle WA 98107,"(47.6685294, -122.3793357)",,0
Egg Studios/Popllama Products,,www.eggstudios.net,750,Ravenna,N,Music,1988,O,1929,1981,1,0,0,N,0,,1,Y,N,N,N,5,,0,,,,0
Egyptian Theater,,,,,,Cinema,,,,,,,,,,,,,,,,,,,805 East Pine St Seattle WA 98122,"(47.6149531, -122.3217473)",,0
Eight and Sand Gallery,(206) 304-0394,www.eightandsand.com,132,Georgetown,N,Visual,2013,R,1901,2013,0,0,0,Y,132,Y,0,N,N,Y,N,3,,2016-10-17T00:00:00,5840 Airport Way S Suite 212 Seattle WA 98108,"(47.5509620, -122.3186120)",,0
El Centro de la Raza,(206) 329-9442,http://www.elcentrodelaraza.org/,54548,Beacon Hill,Y,Community Center,1972,O,1911,1972,0,0,0,N,0,Y,130,,Y,N,Y,5,,0,2524 16th Ave S Seattle WA 98144,"(47.5803398, -122.3112978)",,0
El Corazon,(206) 262-0482,www.elcorazonseattle.com,8000,Eastlake,N,Music,2004,R,1910,2004,0,0,0,N,0,,20,Y,N,Y,N,4,,2024,109 Eastlake Ave E Seattle WA 98109,"(47.6187980, -122.3293302)",,0
Elderwise,(206) 774-6606,www.elderwise.org,350,First Hill,Y,Visual,2000,R,1965,1997,2,0,0,I don't know.,0,Y,20,N,N,I don't know.,N,4,,,900 University St Seattle WA 98101,"(47.6109280, -122.3293530)",,0
Electric Coffin Studio,,,,,,Service/Supply,,,,,,,,,,,,,,,,,,,2629 NW Market St Seattle WA 98107,"(47.6685814, -122.3907201)",,0
Electric Tea Garden (CLOSED),,,,,,Music,,,,,,,,,,,,,,,,,,,1402 E Pike St Seattle WA 98122,"(47.6143000, -122.3139168)",2014-01-01T00:00:00,1
Electrokitty Recordings,,,,,,Studios,,,,,,,,,,,,,,,,,,,4415 Densmore Ave N Seattle WA 98103,"(47.6608378, -122.3376838)",,0
Elizabeth's Dance Dimensions,(425) 883-2206,www.dancedm.com,2500,,N,Arts/Cultural Training or Education,1992,R,1985,1992,0,0,,N,,I don't know.,20,Y,Y,N,,5,,2018,12121 Northup Way Bellevue WA 98005,"(47.6302070, -122.1786520)",,0
Elliott Bay Book Company,(206) 624-6600,https://www.elliottbaybook.com/,15000,Capitol Hill,N,Literary,2010,R,1916,1973,1,1,180,Y,,Y,0,Y,,Y,N,5,,,1521 10th Ave Seattle WA 98122,"(47.6146657, -122.3196776)",,0
Emerald Ballet Theatre,425-883-3405,www.emeraldballet.org,6000,,Non Profit,Studios,2007,Rent,1970,2007,0,0,0,Yes,2500,Yes,,No,Yes,No,No,3,,2020,"12368 Northup Way, Bellevue, WA 98005","(47.6296720, -122.1757505)",,0
Emerald City Fired Arts Studio and Gallery,206-7210450,http://www.emeraldcityfiredarts.com/,1323,Mt. Baker,N,Visual,2013,O,2010,2012,0,0,0,Y,1323,Y,2,Y,Y,Y,N,5,,,3333 Rainer Ave S Suite A Seattle WA 98144,"(47.5729980, -122.2947080)",,0
Emerald City Guitars,,,,Pioneer Square,,Service/Supply,,,,,,,,,,,,,,,,,,,83 S Washington St Seattle WA 98104,"(47.6008860, -122.3345470)",,0
Emerald City Trapeze,,,,,,Arts/Cultural Training or Education,,,,,,,,,,,,,,,,,,,2702 6th Ave South Seattle WA 98134,"(47.5795940, -122.3255672)",,0
Emeralda Works,(206) 498-9208,www.printmakingworld.com/emeralda,310,Capitol Hill,N,Arts/Cultural Training or Education,2008,O,2009,1999,3,0,,Y,300,N,2,Y,N,N,N,3,,,500 Aloha St #105 Seattle WA 98109,"(47.6274030, -122.3471370)",,0
Empty Sea Studios,(206) 329-9442,www.elcentrodelaraza.com,1400,Phinney Ridge,N,Performance,2009,R,1914,2005,1,1,40,N,0,N,0,Y,Y,Y,N,3,,2016,2524 16th Ave S Seattle WA 98144,"(47.5803398, -122.3112978)",,0
Enumclaw Expo Center,,,,,,Multi-use,,,,,,,,,,,,,,,,,,,45224 284th Ave SE Enumclaw WA 98022,"(47.1951140, -121.9631550)",,0
Enumclaw Plateau Historical Society,(360) 825-3356   ,None,4200,,Y,Heritage,2005,O,1909,1995,0,0,,N,,Y,0,Y,N,N,,4,,,1837 Marion Street Enumclaw WA 98022,"(47.2064765, -121.9906578)",,0
Enumclaw School District (Auditorium),(360) 802-7248,www.enumclaw.wednet.edu,700000,,Government,Multi-use,1960,O,1960,1900,1,1,320,N,,Partial,220,N,N,N,,5,,,2929 McDougall Avenue Enumclaw WA 98022,"(47.1883890, -122.0087770)",,0
Equinox Studios,,,,,,Studios,,,,,,,,,,,,,,,,,,,6555 5th Ave S Seattle WA 98108,"(47.5446340, -122.3283710)",,0
Erickson Theater,(206) 427-5207,www.seattlecentral.edu,7500,Capitol Hill,Y,Performance,2007,R,2004,2004,2,1,141,N,0,Y,0,Y,,N,N,1,,,1524 Harvard Ave Seattle WA 98122,"(47.6148138, -122.3217378)",,0
Eritrean Association in Greater Seattle,,,,,,Community Center,,,,,,,,,,,,,,,,,,,1528 Valentine Pl S Seattle WA 98144,"(47.5887981, -122.3070771)",,0
Ethiopian Community Center,,,,,,Community Center,,,,,,,,,,,,,,,,,,,8323 Rainier Ave South Seattle WA 98118,"(47.5286480, -122.2704090)",,0
Ethnic Heritage Art Gallery at Seattle Municipal Tower,(206) 684-7171,http://www.seattle.gov/ethnicartgallery/,,Downtown,Other,Visual,2009,Other,1991,2009,0,0,0,Y,335,Y,,Y,N,N,N,5,,,700 5th Ave Seattle WA 98104,"(47.6050163, -122.3295729)",,0
Evergreen City Ballet,(425) 228-6800,www.evergreencityballet.org,,,,Performance,,,,,,,,,,,,,,,,,,,"2230 Lind Ave SW, Ste 109 Renton WA 98057","(47.4604570, -122.2234060)",,0
Evergreen Family Theatre,(425) 885-2244,evergreenfamilytheatre.org,6000,,Y,Multi-use,2007,R,1978,2007,0,0,180,N,,I don't know.,100,Y,N,N,,3,,,11500 Redmond-Woodinville Road Redmond WA 98052,"(47.7030180, -122.1312790)",,0
Everyday Music,,,,,,Music,,,,,,,,,,,,,,,,,,,1520 10th Ave Seattle WA 98122,"(47.6147460, -122.3190690)",,0
eXit Space School of Dance,,,,,,Arts/Cultural Training or Education,,,,,,,,,,,,,,,,,,,414 NE 72nd St Seattle WA 98115,"(47.6808468, -122.3238474)",,0
Fabio's Frame Shop,(253) 941-0414,www.fabiosframeshop.com,1800,,N,Visual,2012,R,1980,2012,0,0,,Y,100,I don't know.,100,N,N,N,,2,,2017,31879 Gateway Center Blvd. S. Federal Way WA 98003,"(47.3168010, -122.3013380)",,0
Fall City Historical Society,(206) 999-2022,www.fallcityhistorical.org,300,,Y,Preservation,2007,R,1898,2007,0,0,,N,,N,0,Y,N,N,,3,,,4236 - 337th Pl SE Fall City WA 98024,"(47.5675820, -121.8903670)",,0
Fall City Library,,,,,,Literary,,,,,,,,,,,,,,,,,,,33415 Southeast 42nd Place Fall City WA 98024,"(47.5687460, -121.8939360)",,0
Falls City Lodge #66/Masonic Hall,(425) 533-9729,www.fallcitylodge.com,5000,,Y,Multi-use,1895,O,1895,1890,1,1,270,N,5000,N,50,Y,Y,Y,,4,,,4304 337th Pl. SE Fall City WA 98024,"(47.5668230, -121.8907910)",,0
Fauntleroy Schoolhouse/Fauntleroy Community Service Agency,(425) 445-4064,www.fauntleroyschoolhouse.org,49000,West Seattle,Y,Community Center,2010,O,1917,1980,1,1,275,N,,Y,150,Y,Y,Y,N,5,,,9131 California Ave SW Seattle WA 98136,"(47.5219080, -122.3884890)",,0
Federal Way Coalition of the Performing Arts,(253) 839-4389,federalwaypacc.org,,,,Performance,,,,,,,,,,,,,,,,,,,PO Box 24753 Federal Way WA 98093,,,0
Federal Way Symphony,(253) 529-9857,www.federalwaysymphony.org,800,,Y,Performance,2012,R,2012,1983,,0,500,N,0,Y,50,N,N,N,,4,,2015,33330 8th Ave S Federal Way WA 98063,"(47.3047680, -122.3248900)",,0
Feedback Lounge,(206) 453-3259,www.feedbacklounge.net,2900,West Seattle,N,Multi-use,2009,R,1930,2009,0,0,150,N,0,Y,20,Y,Y,Y,N,4,,2022,6451 California Ave. SW Seattle WA 98136,"(47.5451390, -122.3874303)",,0
Fetherston Gallery (CLOSED),,,,,,Visual,,,,,,,,,,,,,,,,,,,"5701 6th Ave S, Seattle WA 98108","(47.5514664, -122.3283134)",2016-03-14T00:00:00,1
Filipino American National Historical Society,,,,,,Arts/Cultural Training or Education,,,,,,,,,,,,,,,,,,,810 18th Ave #100 Seattle WA 98122,"(47.6094900, -122.3089040)",,0
Filipino Community Center,,,,,,Community Center,,,,,,,,,,,,,,,,,,,5740 Martin Luther King Jr Way Seattle WA 98118,"(47.5501250, -122.2870860)",,0
First Free Methodist,,,,,,Multi-use,,,,,,,,,,,,,,,,,,,3200 3rd Ave West Seattle WA 98119,"(47.6493570, -122.3606260)",,0
Fischer Studio Building: a Condominium,(206) 583-8491,,,,,Preservation,,,,,,,,,,,,,,,,,,,"2010 156th Ave NE, #100 Bellevue WA 98007","(47.6292041, -122.1308528)",,0
Flamenco Gitana,,,,,,Arts/Cultural Training or Education,,,,,,,,,,,,,,,,,,,9250 14th Ave NW Seattle WA 98117,"(47.6973909, -122.3736435)",,0
Flatcolor Gallery,,,,,,Visual,,,,,,,,,,,,,,,,,,,77 S. Main St. Seattle WA 98104,"(47.5999356, -122.3353103)",,0
Flury and Company,,,,,,Visual,,,,,,,,,,,,,,,,,,,322 1st Ave S Seattle WA 98104,"(47.5993435, -122.3339158)",,0
Fluteworks Seattle,(206) 729-1903,www.facebook.com/fluteworksseattle,600,Ravenna,N,Music,2000,R,1931,1988,1,0,,N,0,I don't know.,1,Y,N,N,N,3,,It's month to month.,1029 NE 69th St Seattle WA 98115,"(47.6785280, -122.3161470)",,0
Flying House Productions,(206) 323-0750,www.flyinghouse.org,4000,First Hill,Y,Music,1993,O,1960,1979,2,0,0,N,0,Y,12,Y,Y,N,Y,5,,0,319 12th Ave Seattle WA 98122,"(47.6050296, -122.3171573)",,0
Form/Space Atelier,206-602-2424,www.formspaceatelier.com,180,Belltown,Artist Run,Visual,3,Rent,2006,2006,,,0,Yes,180,Yes,0,Yes,No,No,No,3,,2019,"98 Clay Street, Seattle, WA 98121","(47.6142042, -122.3484190)",,0
Foster/White Gallery,(206) 622-2833,www.fosterwhite.com,10000,Pioneer Square,N,Visual,2005,O,1904,1973,2,0,0,,,Y,0,Y,N,N,N,5,,0,220 3rd Ave S Seattle WA 98104,"(47.6002759, -122.3299406)",,0
Fountainhead Gallery,(206) 285-4467,www.fountainheadgallery.com,2100,Queen Anne,N,Visual,1996,R,1927,1996,0,0,0,Y,1500,Partial,0,Y,N,Y,N,4,,2021,625 W McGraw St Seattle WA 98119,"(47.6394417, -122.3660888)",,0
Four Creeks Unincorporated Area Council,(425) 226-9946,www.FourCreeks.org,200,,Y,Arts/Cultural Training or Education,2000,Other,1970,1996,1,0,,N,,Y,30,Y,N,N,,4,,,16431 SE Renton Issaquah Rd Renton WA 98059,"(47.4996030, -122.1196520)",,0
Frame Central/North West Framing Cloud Gallery,(206) 720-2054,www.framecentral.com,700,Capitol Hill,,Visual,2011,Other,1900,2011,1,0,0,Y,700,N,0,Y,N,N,N,4,,0,901 E Pike St Seattle WA 98122,"(47.6139020, -122.3203375)",,0
Francine Seders Gallery (CLOSED),,,,,,Visual,,,,,,,,,,,,,,,,,,,6701 Greenwood Ave N Seattle WA 98103,"(47.6779185, -122.3556352)",2013-12-31T00:00:00,1
FRED Wildlife Refuge,(206) 588-6959,www.fredwildliferefuge.com,5200,Capitol Hill,Y,Multi-use,2010,R,1962,2010,0,0,0,Y,1200,Y,5,Y,Y,Y,N,5,,2015,127 Boylston Ave E Seattle WA 98102,"(47.6219768, -122.3230383)",,0
Freehold Theatre and Lab Studio,(206) 323-7499,www.freeholdtheatre.org,4800,Belltown,Y,Performance,2008,R,1960,1991,2,1,49,N,0,N,0,Y,Y,N,Y,4,,,2222 2nd Ave Suite 200 Seattle WA 98121,"(47.6138182, -122.3448891)",2017-05-31T00:00:00,1
Freehold Theatre Lab Studio,2063237499,www.freeholdtheatre.org,7000,Chinatown/International District,Non Profit,Arts/Cultural Training or Education,2017,Rent,1910,1991,3,1,99,No,,Yes,0,No,Yes,No,"Yes, currently",4,,2026,517 Maynard Ave. S,"(47.5975950, -122.3250400)",,0
Fremont Abbey Arts Center,(206) 414-8325,www.fremontabbey.org,8500,Fremont,Y,Performance,2005,R,1914,2005,1,2,250,Y,1400,Y,0,Y,Y,Y,Y,4,,2014,4272 Fremont Ave N Seattle WA 98103,"(47.6591931, -122.3498604)",,0
Fremont Studios,,,,,,Performance,,,,,,,,,,,,,,,,,,,155 N 35th St Seattle WA 98103,"(47.6514144, -122.3555957)",,0
Friends of Eastside Arts,(425) 450-3810,www.meydenbauer.com,,,,Arts/Cultural Administration or Advocacy,,,,,,,,,,,,,,,,,,,11100 NE 6th St. Bellevue WA 98004,"(47.6154166, -122.1951555)",,0
Friends of KEXP,(206) 520-5800,www.kexp.org,6288,South Lake Union,Y,Music,2003,R,1945,2002,1,0,0,N,0,,19,Y,N,N,Y,3,,2015-12-31T00:00:00,113 Dexter Ave North Seattle WA 98109,"(47.6190876, -122.3428109)",,0
Friends of Mukai,(206) 463-2513,www.friendsofmukai.org,,,,Arts/Cultural Administration or Advocacy,,,,,,,,,,,,,,,,,,,18017 107th Ave SW Vashon WA 98070,"(47.4430530, -122.4725020)",,0
Friends of St. Edward State Park,(425) 487-3722,www.parks.wa.gov,180000,,Government,Heritage,1977,Other,1930,1913,,2,,N,,Partial,550,Y,Y,N,,2,,,14445 Juanita Dr. NE Kenmore WA 98028-4905,"(47.7321660, -122.2454340)",,0
Friends of Third Place Commons,(206) 366-3302,www.thirdplacecommons.org/,400,,Y,Multi-use,1998,Other,1964,1999,0,1,500,N,,Y,300,N,Y,N,,3,,,17171 Bothell Way NE Lake Forest Park WA 98155,"(47.7539910, -122.2782190)",,0
Frye Art Museum,(206) 622-9250,www.fryemuseum.org,42000,First Hill,Y,Visual,1952,O,1952,1952,0,1,142,Y,18000,Y,122,Y,Y,Y,Y,5,,0,704 Terry Ave Seattle WA 98104,"(47.6071837, -122.3240443)",,0
Fucko Alley Gallery,,www.fuckoskateboards.com,400,Northgate,Y,Visual,2013,R,1900,2013,0,0,0,Y,400,N,0,N,N,N,N,4,,,Alley of 10525 Ashworth Ave N Seattle WA 98133,"(47.7060528, -122.3397162)",,0
Full Tilt Ballard,(206) 297-3000,www.fulltilticecream.com,1300,Ballard,N,Performance,2008,R,,2008,0,0,0,Y,,Y,0,Y,Y,Y,N,5,,2021,5453 Leary Ave NWâ€Ž Seattle WA 98107,"(47.6679185, -122.3838941)",,0
Full Tilt Columbia City,(206) 226-2740,www.fulltilticecream.com,1100,Columbia City,N,Performance,2008,R,,2008,0,0,0,Y,,Y,0,Y,Y,Y,N,5,,2021,5041 Rainier Ave S Seattle WA 98118,"(47.5559849, -122.2840929)",,0
Fuzzy Lounge Recording,,,,,,Studios,,,,,,,,,,,,,,,,,,,4742 42nd Ave SW #617 Seattle WA 98116,"(47.5600370, -122.3855070)",,0
FWCC World Champions of Sand Sculpting,(253) 261-6535,,,,,Visual,,,,,,,,,,,,,,,,,,,4402 Auburn Way S. Auburn WA 98002,"(47.2851805, -122.1729492)",,0
Gage Academy of Art,(206) 323-4243,www.gageacademy.org,18000,Capitol Hill,Y,Visual,2004,R,1925,1989,2,1,,Y,400,N,180,Y,N,Y,Y,3,,2013,1501 10th Ave East #101 Seattle WA 98102,"(47.6325497, -122.3206894)",,0
Gallery 110 in Tashiro Kaplan,(206) 624-9336,www.gallery110.wordpress.com,,Pioneer Square,Y,Visual,2009,R,1902,2002,1,0,0,,,Y,0,Y,,Y,N,5,,2014,110 3rd Ave S Seattle WA 98104,"(47.6012598, -122.3300030)",,0
Gallery 1412,,,,,,Performance,,,,,,,,,,,,,,,,,,,1412 18th Ave Seattle WA 98122,"(47.6133227, -122.3086811)",,0
Gallery at Town Center Shoreline-Lake Forest Park Arts Council ,(206)588-8332,www.shorelinearts.net/events-programs/gallery-at-town-center/,320,,Y,Visual,2009,R,1990,1989,2,0,0,Y,320,Y,500,N,N,N,,3,,2015,17171 Bothell Way NE Lake Forest Park WA 98155,"(47.7539910, -122.2782190)",,0
Gallery Context,(206) 553-9437,www.gallerycontext.wordpress.com,3000,Georgetown,,Visual,2011,R,1977,2012,1,0,0,Y,3000,Y,50,N,N,N,N,2,,,5701 Sixth Ave South Seattle WA 98108,"(47.5514664, -122.3283134)",,0
Gallery Frames,,,,Pioneer Square,,Service/Supply,,,,,,,,,,,,,,,,,,,625 1st Ave #100 Seattle WA 98104,"(47.6023640, -122.3345950)",,0
Gallery IMA,(206) 625-0055,www.galleryima.com,3658,Pioneer Square,N,Visual,2006,O,1902,2006,6,0,0,Y,3658,,2,Y,Y,N,N,3,,0,123 S Jackson St Seattle WA 98104,"(47.5989643, -122.3331035)",,0
Gallery Mack's Art Connection,,,,,,Arts/Cultural Training or Education,,,,,,,,,,,,,,,,,,,2100 Western Ave Seattle WA 98121,"(47.6114580, -122.3447950)",,0
Gansango Music & Dance,(206) 417-4679,www.gansango.com,286,Northgate,N,Performance,2009,O,2008,2000,1,0,,N,0,N,2,Y,N,N,Y,5,,,1243 NE 130th St Seattle WA 98125,"(47.7228082, -122.3134892)",,0
Garden of Beadin,(425) 482-2323,www.beadinseattle.com,1200,,N,Arts/Cultural Administration or Advocacy,2010,R,1980,2008,1,0,,N,,I don't know.,6,Y,N,N,,4,,2015,817 238th Street SE Suite A Bothell WA 98021,"(47.7821140, -122.2227130)",,0
Garfield Community Center,,,,,,Community Center,,,,,,,,,,,,,,,,,,,2323 E Cherry St Seattle WA 98122,"(47.6080100, -122.3023490)",,0
Gasworks Gallery,,,,,,Visual,,,,,,,,,,,,,,,,,,,3815 4th Ave NE Seattle WA 98105,"(47.6542930, -122.3249050)",,0
Gay City Health Project,(206) 860-6969,www.gaycity.org,750,Capitol Hill,Y,Performance,2012,R,1920,1995,4,1,,Y,250,Y,0,Y,Y,Y,Y,4,,2027,517 East Pike St Seattle WA 98122,"(47.6137960, -122.3247830)",,0
Geisa Dutra Piano Studio,(206) 295-6590,www.geisadutra.com,1700,Greenwood,N,Performance,1996,O,1940,1996,1,0,0,N,0,,0,Y,Y,Y,N,4,,0,Â 8735 Palatine Ave N Seattle WA 98103,"(47.6934167, -122.3569439)",,0
George Center for Community,(206) 362-3325,www.georgecfc.org,10000,Lake City Way,Y,Multi-use,2011,O,1959,2011,0,1,100,Y,1500,Partial,50,Y,Y,Y,N,4,,,2212 NE 125th St Seattle WA 98125,"(47.7199293, -122.3050328)",,0
Georgetown Arts and Cultural Center,(206) 851-1538,www.georgetownartcenter.org,2500,Georgetown,Y,Visual,2012,R,1904,2007,1,0,0,Y,300,N,20,Y,Y,N,N,4,,2017,5809 Airport Way S Seattle WA 98108,"(47.5504345, -122.3182596)",,0
Georgetown Atelier,,,,,,Arts/Cultural Training or Education,,,,,,,,,,,,,,,,,,,5628 Airport way S #330 Seattle WA 98108,"(47.5518170, -122.3194540)",,0
Georgetown Merchants Associtation,(206) 724-3237,http://georgetownmerchants.org/,,Georgetown,Y,Multi-use,13,Other,1916,2003,0,3,0,Y,0,,,Y,Yes,N,C,5,,0,1201 S. Vale Seattle WA 98168,"(47.5488580, -122.3169400)",,
Georgetown Music Store,,,,,,Service/Supply,,,,,,,,,,,,,,,,,,,6111 13th Ave S Seattle WA 98108,"(47.5482250, -122.3164830)",,0
Georgetown Records and Fantagraphics Books,(206) 762-5638,www.georgetownrecords.net,1200,Georgetown,N,Music,2004,R,1911,2004,0,0,0,Y,500,Y,0,Y,N,N,N,4,,2016,1201 S Vale St Seattle WA 98108,"(47.5490859, -122.3169537)",,0
Georgetown Steam Plant,206-684-0199,www.georgetownsteamplant.org,20000,Georgetown,Public / Government,Heritage,1951,Own,111,1902,5,,,No,,No,,No,Yes,No,No,5,,0,6605 13th Ave. S.,,,
Georgetown Trailer Park Mall,(206) 767-0331,www.georgetowntrailerpark.com,3000,Georgetown,Y,Visual,2011,R,,2009,1,1,,Y,200,,12,,Y,N,N,3,,It's month to month.,5805 Airport Way S Seattle WA 98108,"(47.5505915, -122.3183935)",,0
Ghost Gallery,(206) 832-6063,www.ghostgalleryart.com,900,Capitol Hill,N,Visual,2010,R,1926,2006,1,0,0,Y,800,Y,0,N,N,N,N,3,,It's month to month.,504 E Denny Way Seattle WA 98122,"(47.6186813, -122.3249251)",,0
Ghost Light Theatricals/The Ballard Underground,(206) 395-5458,www.ghostlighttheatricals.org,2682,Ballard,Y,Performance,2009,R,1925,2002,0,1,85,Y,200,,0,Y,Y,Y,Y,5,,2016,2220 NW Market Street Lower Level Seattle WA 98107,"(47.6691001, -122.3857909)",,0
Glass Art Society,,,,,,Arts/Cultural Administration or Advocacy,,,,,,,,,,,,,,,,,,,6512 23rd Ave NW Suite 329 Seattle WA 98117,"(47.6762880, -122.3853880)",,0
Glass Eye Studio,,,,,,Service/Supply,,,,,,,,,,,,,,,,,,,600 NW 40th Street Seattle WA 98107,"(47.6564670, -122.3641280)",,0
Glassbox,,,,,,Visual,,,,,,,,,,,,,,,,,,,831 Seattle Blvd S Seattle WA 98134,"(47.5950590, -122.3262350)",,0
Glasshouse Studios,,,,,,Arts/Cultural Training or Education,,,,,,,,,,,,,,,,,,,311 Occidental Ave S Seattle WA 98104,"(47.5997045, -122.3331303)",,0
Glassybaby Madrona,,,,,,Service/Supply,,,,,,,,,,,,,,,,,,,3406 East Union St Seattle WA 98122,"(47.6131100, -122.2888870)",,0
Glassybaby University Village,,,,,,Service/Supply,,,,,,,,,,,,,,,,,,,2627 NE Village Lane Seattle WA 98105,"(47.6604000, -122.2805250)",,0
Glazer's Camera,,,,,,Service/Supply,,,,,,,,,,,,,,,,,,,433 8th Ave N Seattle WA 98109,"(47.6229630, -122.3414380)",,0
Golden Age Collectibles,,,,,,Service/Supply,,,,,,,,,,,,,,,,,,,1501 Pike Pl #401 Seattle WA 98101,"(47.6087070, -122.3410490)",,0
Golden Oldies,,,,,,Music,,,,,,,,,,,,,,,,,,,201 NE 45th St Seattle WA 98105,"(47.6611600, -122.3269270)",,0
Gotta Dance,(425) 861-5454,www.gttadance.com,12000,,N,Studios,2003,R,1980,1991,3,0,,N,,Y,80,N,Y,N,,5,,2020,17945 Northeast 65th Street Suite 100 Redmond WA 98052,"(47.6630330, -122.1007390)",,0
